hive_id,timestamp,weight_delta,temp_dev,humidity_dev
HV-UP-001,2026-08-01T08:00:00Z,0.1,0.2,-1.5
HV-UP-001,2026-08-01T09:00:00Z,0.2,-0.1,0.5
HV-UP-001,2026-08-01T10:00:00Z,0.0,0.3,-0.8
HV-UP-001,2026-08-01T11:00:00Z,-0.1,0.5,1.2
HV-UP-001,2026-08-01T12:00:00Z,0.3,0.1,0.0
HV-UP-001,2026-08-01T13:00:00Z,0.1,0.4,-0.5
HV-UP-001,2026-08-01T14:00:00Z,0.2,-0.3,0.8
HV-UP-001,2026-08-01T15:00:00Z,-0.2,0.6,-1.0
HV-UP-001,2026-08-01T16:00:00Z,0.0,0.1,0.3
HV-UP-001,2026-08-01T17:00:00Z,0.1,-0.2,-0.4
HV-UP-002,2026-08-01T08:00:00Z,0.0,0.0,0.0
HV-UP-002,2026-08-01T09:00:00Z,-0.1,0.3,1.0
HV-UP-002,2026-08-01T10:00:00Z,0.2,-0.4,-0.5
HV-UP-002,2026-08-01T11:00:00Z,0.1,0.1,0.2
HV-UP-002,2026-08-01T12:00:00Z,-0.3,0.8,-2.0
HV-UP-002,2026-08-01T13:00:00Z,0.4,-0.5,1.5
HV-UP-002,2026-08-01T14:00:00Z,0.1,0.2,0.1
HV-UP-002,2026-08-01T15:00:00Z,0.0,-0.1,-0.3
HV-UP-002,2026-08-01T16:00:00Z,-0.1,0.4,0.7
HV-UP-002,2026-08-01T17:00:00Z,0.2,0.0,-0.1
HV-UP-003,2026-08-01T08:00:00Z,-4.5,8.2,25.0
HV-UP-003,2026-08-01T09:00:00Z,-5.1,9.0,28.5
HV-UP-003,2026-08-01T10:00:00Z,0.1,0.2,0.3
HV-UP-003,2026-08-01T11:00:00Z,0.0,-0.1,-0.2
HV-UP-003,2026-08-01T12:00:00Z,0.2,0.1,0.5
HV-UP-003,2026-08-01T13:00:00Z,0.1,-0.3,0.1
HV-UP-003,2026-08-01T14:00:00Z,-0.1,0.4,-0.8
HV-UP-003,2026-08-01T15:00:00Z,0.3,0.2,0.4
HV-UP-003,2026-08-01T16:00:00Z,0.0,0.0,-0.1
HV-UP-003,2026-08-01T17:00:00Z,0.1,-0.2,0.2
